Incident No,Incident Time,Incident Type,Location,Comments,Emergency
4,12:00,Fire Alarm,Engineering,FIRE ALARM 6 ENGINEERING ROOM 2.03 AUTO REPORT,1
5,13:50,Snake Sighting,Hub,Snake down the stair near the food court,0
1,9:00,Building Access,Humanities,Need to get into a lecture theatre to run my class,0
2,10:00,Building Access,Engineering,I left my thesis on my desk and for some reason my card doesn't work,0
3,11:15,Building Access,Hub,Locked in Alere,0
6,14:00,Maintenance,Hub,Broken light in Alere,0
7,14:00,Snake Sighting,Hub,Snake outside Hub,0
8,17:00,Car Walk,Hub,Walk to Car Park 3,0
9,18:47,Car Walk,Humanities,Walk to Education Car Park,0
10,19:00,Car Walk,Humanities,Walk to car park 1,0
